"obs_id","modal_class","n_agreements","agreement_rate","outcome"
1,3,24,0.8,0
2,4,15,0.5,1
3,3,17,0.566666666666667,0
4,1,25,0.833333333333333,0
5,2,28,0.933333333333333,0
6,1,26,0.866666666666667,1
7,2,28,0.933333333333333,0
8,1,29,0.966666666666667,1
9,1,26,0.866666666666667,0
10,4,16,0.533333333333333,1
11,4,13,0.433333333333333,0
12,1,26,0.866666666666667,0
13,3,26,0.866666666666667,0
14,1,29,0.966666666666667,0
15,4,18,0.6,1
16,3,27,0.9,0
17,3,30,1,1
18,3,25,0.833333333333333,0
19,2,25,0.833333333333333,0
20,3,22,0.733333333333333,0
21,4,21,0.7,0
22,3,23,0.766666666666667,0
23,2,29,0.966666666666667,0
24,2,28,0.933333333333333,1
25,2,28,0.933333333333333,0
26,1,27,0.9,0
27,3,26,0.866666666666667,0
28,4,27,0.9,1
29,4,12,0.4,1
30,4,23,0.766666666666667,0
31,4,16,0.533333333333333,0
32,3,18,0.6,0
33,1,29,0.966666666666667,0
34,1,29,0.966666666666667,0
35,4,18,0.6,0
36,2,28,0.933333333333333,0
37,1,27,0.9,0
38,2,29,0.966666666666667,0
39,3,26,0.866666666666667,0
40,1,27,0.9,0
41,2,16,0.533333333333333,0
42,1,22,0.733333333333333,1
43,4,17,0.566666666666667,0
44,4,18,0.6,0
45,3,26,0.866666666666667,0
46,1,26,0.866666666666667,0
47,1,27,0.9,0
48,1,20,0.666666666666667,0
49,3,21,0.7,1
50,1,26,0.866666666666667,0
51,2,28,0.933333333333333,0
52,1,27,0.9,0
53,3,18,0.6,0
54,2,29,0.966666666666667,0
55,2,28,0.933333333333333,0
56,2,22,0.733333333333333,1
57,4,15,0.5,1
58,3,27,0.9,0
59,4,28,0.933333333333333,0
60,3,27,0.9,0
61,2,24,0.8,0
62,1,22,0.733333333333333,0
63,4,16,0.533333333333333,0
64,2,24,0.8,0
65,4,26,0.866666666666667,0
66,2,29,0.966666666666667,0
67,4,17,0.566666666666667,0
68,1,24,0.8,0
69,4,19,0.633333333333333,0
70,1,16,0.533333333333333,1
71,1,30,1,0
